"data";"valor"
"01/07/2020";"0,36"
"01/08/2020";"0,24"
"01/09/2020";"0,64"
"01/10/2020";"0,86"
"01/11/2020";"0,89"
"01/12/2020";"1,35"
"01/01/2021";"0,25"
"01/02/2021";"0,86"
"01/03/2021";"0,93"
"01/04/2021";"0,31"
"01/05/2021";"0,83"
"01/06/2021";"0,53"
"01/07/2021";"0,96"
"01/08/2021";"0,87"
"01/09/2021";"1,16"
"01/10/2021";"1,25"
"01/11/2021";"0,95"
"01/12/2021";"0,73"
"01/01/2022";"0,54"
"01/02/2022";"1,01"
"01/03/2022";"1,62"
"01/04/2022";"1,06"
"01/05/2022";"0,47"
"01/06/2022";"0,67"
"01/07/2022";"-0,68"
"01/08/2022";"-0,36"
"01/09/2022";"-0,29"
"01/10/2022";"0,59"
"01/11/2022";"0,41"
"01/12/2022";"0,62"
"01/01/2023";"0,53"
"01/02/2023";"0,84"
"01/03/2023";"0,71"
"01/04/2023";"0,61"
"01/05/2023";"0,23"
"01/06/2023";"-0,08"
"01/07/2023";"0,12"
"01/08/2023";"0,23"
"01/09/2023";"0,26"
"01/10/2023";"0,24"
"01/11/2023";"0,28"
"01/12/2023";"0,56"
"01/01/2024";"0,42"
"01/02/2024";"0,83"
"01/03/2024";"0,16"
"01/04/2024";"0,38"
"01/05/2024";"0,46"
"01/06/2024";"0,21"
"01/07/2024";"0,38"
"01/08/2024";"-0,02"
"01/09/2024";"0,44"
"01/10/2024";"0,56"
"01/11/2024";"0,39"
"01/12/2024";"0,52"
"01/01/2025";"0,16"
"01/02/2025";"1,31"
"01/03/2025";"0,56"
"01/04/2025";"0,43"
"01/05/2025";"0,26"
