player,team,goals,assists
Kaio Jorge,Cruzeiro EC,15,5.0
Giorgian De Arrascaeta,CR Flamengo,13,10.0
Pablo Vegetti,CR Vasco da Gama,12,1.0
Pedro,CR Flamengo,10,4.0
Reinaldo,Mirassol FC,8,3.0
Vítor Roque,SE Palmeiras,8,3.0
Pedro Raul,Ceará SC,7,
Alan Patrick,SC Internacional,7,5.0
Renato Kayzer,EC Vitória,7,
Isidro Pitta,RB Bragantino,6,1.0
José Manuel López,SE Palmeiras,6,
Rayan,CR Vasco da Gama,6,1.0
Martin Braithwaite,Grêmio FBPA,6,
Chico,Mirassol FC,6,
Gabriel Barbosa,Cruzeiro EC,5,2.0
Álvaro Barreal,Santos FC,5,
Yuri Alberto,SC Corinthians Paulista,5,1.0
Luciano Juba,EC Bahia,5,3.0
Eduardo Sasha,RB Bragantino,5,1.0
André Silva,São Paulo FC,5,2.0
